,CASE_ID,Activity,Resource,StartTimestamp,Amount,CompleteTimestamp,Duration,StartDate,CompleteDate,weight
43949,5785,W-Completeren aanvraag-START,11122.0,2012-01-05 02:33:03,50000,2012-01-05 02:42:44,10,2012-01-05,2012-01-05,10
43950,5785,W-Nabellen offertes-START,11122.0,2012-01-05 02:42:55,50000,2012-01-05 02:45:19,3,2012-01-05,2012-01-05,10
43951,5785,W-Nabellen offertes-START,11122.0,2012-01-05 02:46:33,50000,2012-01-05 02:46:48,1,2012-01-05,2012-01-05,10
43952,5785,W-Nabellen offertes-START,10932.0,2012-01-12 19:37:38,50000,2012-01-12 19:38:28,1,2012-01-12,2012-01-12,10
43953,5785,W-Nabellen offertes-START,11201.0,2012-01-19 04:46:34,50000,2012-01-19 04:52:10,6,2012-01-19,2012-01-19,10
43954,5785,W-Nabellen offertes-START,11180.0,2012-01-23 17:35:17,50000,2012-01-23 17:42:30,8,2012-01-23,2012-01-23,10
43955,5785,W-Nabellen offertes-START,10889.0,2012-01-31 21:45:41,50000,2012-01-31 21:49:09,4,2012-01-31,2012-01-31,10
43956,5785,W-Nabellen offertes-START,10889.0,2012-01-31 21:49:37,50000,2012-01-31 21:50:49,2,2012-01-31,2012-01-31,10
43957,5785,W-Nabellen offertes-START,10789.0,2012-02-10 19:33:48,50000,2012-02-10 19:35:39,2,2012-02-10,2012-02-10,10
43958,5785,W-Nabellen offertes-START,10909.0,2012-02-18 22:45:32,50000,2012-02-18 22:51:10,6,2012-02-18,2012-02-18,10
43959,5785,W-Nabellen offertes-START,10881.0,2012-02-28 17:10:30,50000,2012-02-28 17:12:13,2,2012-02-28,2012-02-28,10
43960,5785,W-Nabellen offertes-START,10889.0,2012-03-08 03:47:16,50000,2012-03-08 03:49:48,3,2012-03-08,2012-03-08,10
57448,7518,W-Completeren aanvraag-START,10933.0,2012-01-31 19:52:35,30000,2012-01-31 20:03:04,11,2012-01-31,2012-01-31,9
57449,7518,W-Completeren aanvraag-START,10933.0,2012-01-31 20:22:58,30000,2012-01-31 20:35:57,13,2012-01-31,2012-01-31,9
57450,7518,W-Completeren aanvraag-START,10910.0,2012-01-31 22:19:33,30000,2012-01-31 22:19:56,1,2012-01-31,2012-01-31,9
57451,7518,W-Completeren aanvraag-START,10932.0,2012-02-10 20:55:51,30000,2012-02-10 21:00:21,5,2012-02-10,2012-02-10,9
57452,7518,W-Nabellen offertes-START,10932.0,2012-02-13 18:40:57,30000,2012-02-13 18:42:43,2,2012-02-13,2012-02-13,9
57453,7518,W-Nabellen offertes-START,10931.0,2012-02-25 20:23:37,30000,2012-02-25 20:30:29,7,2012-02-25,2012-02-25,9
57454,7518,W-Nabellen offertes-START,10933.0,2012-03-02 03:23:36,30000,2012-03-02 03:25:29,2,2012-03-02,2012-03-02,9
57455,7518,W-Nabellen offertes-START,11119.0,2012-03-04 00:06:47,30000,2012-03-04 00:09:40,3,2012-03-04,2012-03-04,9
57456,7518,W-Nabellen offertes-START,11003.0,2012-03-08 23:55:00,30000,2012-03-08 23:55:28,1,2012-03-08,2012-03-08,9
58218,7606,W-Afhandelen leads-START,10912.0,2012-02-01 22:15:45,30000,2012-02-01 22:19:06,4,2012-02-01,2012-02-01,9
58219,7606,W-Completeren aanvraag-START,10982.0,2012-02-02 00:36:26,30000,2012-02-02 00:38:17,2,2012-02-02,2012-02-02,9
58220,7606,W-Completeren aanvraag-START,11201.0,2012-02-02 17:48:46,30000,2012-02-02 17:49:00,1,2012-02-02,2012-02-02,9
58221,7606,W-Completeren aanvraag-START,11169.0,2012-02-02 18:03:33,30000,2012-02-02 18:18:52,16,2012-02-02,2012-02-02,9
58222,7606,W-Nabellen offertes-START,11179.0,2012-02-10 20:45:28,30000,2012-02-10 20:50:49,6,2012-02-10,2012-02-10,9
58223,7606,W-Nabellen offertes-START,11203.0,2012-02-16 22:55:35,30000,2012-02-16 22:55:45,1,2012-02-16,2012-02-16,9
58224,7606,W-Nabellen offertes-START,11119.0,2012-02-17 02:46:26,30000,2012-02-17 02:52:10,6,2012-02-17,2012-02-17,9
58225,7606,W-Nabellen offertes-START,11181.0,2012-02-24 18:50:32,30000,2012-02-24 18:50:52,1,2012-02-24,2012-02-24,9
58226,7606,W-Nabellen offertes-START,11302.0,2012-02-24 23:08:14,30000,2012-02-24 23:09:33,2,2012-02-24,2012-02-24,9
58227,7606,W-Nabellen offertes-START,11302.0,2012-02-24 23:10:04,30000,2012-02-24 23:19:22,10,2012-02-24,2012-02-24,9
58228,7606,W-Nabellen offertes-START,11302.0,2012-02-24 23:19:55,30000,2012-02-24 23:24:12,5,2012-02-24,2012-02-24,9
58229,7606,W-Nabellen offertes-START,11119.0,2012-03-03 19:46:31,30000,2012-03-03 19:50:25,4,2012-03-03,2012-03-03,9
58230,7606,W-Nabellen offertes-START,10899.0,2012-03-08 18:35:38,30000,2012-03-08 18:36:01,1,2012-03-08,2012-03-08,9
58683,7663,W-Afhandelen leads-START,11169.0,2012-02-02 19:15:56,6000,2012-02-02 19:18:47,3,2012-02-02,2012-02-02,2
58684,7663,W-Completeren aanvraag-START,11169.0,2012-02-02 19:52:32,6000,2012-02-02 19:54:15,2,2012-02-02,2012-02-02,2
58685,7663,W-Completeren aanvraag-START,10913.0,2012-02-03 00:27:07,6000,2012-02-03 00:49:42,23,2012-02-03,2012-02-03,2
58686,7663,W-Completeren aanvraag-START,11179.0,2012-02-03 18:37:26,6000,2012-02-03 18:37:44,1,2012-02-03,2012-02-03,2
58687,7663,W-Completeren aanvraag-START,11203.0,2012-02-03 21:27:25,6000,2012-02-03 21:28:28,2,2012-02-03,2012-02-03,2
58688,7663,W-Completeren aanvraag-START,10912.0,2012-02-04 22:33:34,6000,2012-02-04 22:38:21,5,2012-02-04,2012-02-04,2
58689,7663,W-Completeren aanvraag-START,11179.0,2012-02-06 18:18:42,6000,2012-02-06 18:20:58,3,2012-02-06,2012-02-06,2
